id,timestamp,temperature,humidity,ldr_value,light_status
1,2026-05-14 10:43:40,26.8,41.4,386,0
2,2026-05-14 10:43:45,26.9,41.4,431,0
3,2026-05-14 10:43:50,26.9,41.3,4095,1
4,2026-05-14 10:43:56,26.8,41.4,319,0
5,2026-05-14 10:44:01,26.9,41.3,4095,1
6,2026-05-14 10:44:06,26.9,41.2,329,0
7,2026-05-14 10:44:12,26.9,41.3,329,0
8,2026-05-14 10:44:17,26.9,41.3,330,0
9,2026-05-14 10:44:22,26.9,41.4,327,0
10,2026-05-14 10:44:28,26.9,41.4,326,0
11,2026-05-14 10:44:33,26.9,41.2,322,0
12,2026-05-14 10:44:38,26.9,41.1,323,0
13,2026-05-14 10:44:44,26.9,41.1,325,0
14,2026-05-14 10:44:49,26.9,41.0,333,0
15,2026-05-14 10:44:54,26.9,41.1,281,0
16,2026-05-14 10:45:00,26.8,41.1,351,0
17,2026-05-14 10:45:05,26.8,41.1,336,0
18,2026-05-14 10:45:10,26.9,41.1,337,0
19,2026-05-14 10:45:16,26.8,41.2,319,0
20,2026-05-14 10:45:21,26.8,41.2,320,0
21,2026-05-14 10:45:26,26.8,41.2,4095,1
22,2026-05-14 10:45:31,26.8,41.2,342,0
23,2026-05-14 10:45:37,26.8,41.3,355,0
24,2026-05-14 10:45:42,26.8,41.3,351,0
25,2026-05-14 10:45:47,26.8,41.3,4095,1
26,2026-05-14 10:45:53,26.8,41.3,4095,1
27,2026-05-14 10:45:58,26.8,41.3,4095,1
28,2026-05-14 10:46:03,26.8,41.4,415,0
29,2026-05-14 10:46:09,26.8,41.3,457,0
30,2026-05-14 10:46:14,26.8,41.3,458,0
31,2026-05-14 10:46:19,26.8,41.3,448,0
32,2026-05-14 10:46:25,26.8,41.3,446,0
33,2026-05-14 10:46:30,26.8,41.3,448,0
34,2026-05-14 10:46:35,26.8,41.4,453,0
35,2026-05-14 10:46:41,26.8,41.4,448,0
36,2026-05-14 10:49:38,26.8,41.4,376,0
37,2026-05-14 10:49:43,26.8,41.3,381,0
38,2026-05-14 10:49:48,26.7,41.2,338,0
39,2026-05-14 10:49:54,26.8,41.3,4095,1
40,2026-05-14 10:49:59,26.8,41.2,347,0
41,2026-05-14 10:50:04,26.8,41.3,323,0
42,2026-05-14 10:50:10,26.8,41.2,321,0
43,2026-05-14 10:50:15,26.8,41.2,322,0
44,2026-05-14 10:50:20,26.8,41.2,330,0
45,2026-05-14 10:50:26,26.8,41.2,321,0
